date,home,away,home_score,away_score
2026-04-25,New York Liberty,Indiana Fever,91,109
2026-04-25,Los Angeles Sparks,NIGERIA,89,63
2026-04-25,Phoenix Mercury,Chicago Sky,108,104
2026-04-25,Washington Mystics,Minnesota Lynx,66,77
2026-04-26,Golden State Valkyries,Seattle Storm,78,76
2026-04-27,Las Vegas Aces,JAPAN,94,78
2026-04-28,Minnesota Lynx,NIGERIA,88,79
2026-04-29,Toronto Tempo,Connecticut Sun,78,83
2026-04-29,Chicago Sky,Atlanta Dream,78,87
2026-04-30,Seattle Storm,Portland Fire,91,81
2026-04-30,Phoenix Mercury,JAPAN,86,60
2026-04-30,Indiana Fever,Dallas Wings,80,95
2026-05-02,Minnesota Lynx,Toronto Tempo,73,66
2026-05-02,Indiana Fever,NIGERIA,105,57
2026-05-03,Atlanta Dream,Washington Mystics,72,83
2026-05-03,Connecticut Sun,New York Liberty,67,79
2026-05-03,Dallas Wings,Las Vegas Aces,101,84
2026-05-03,Portland Fire,Los Angeles Sparks,75,85
2026-05-08,New York Liberty,Connecticut Sun,106,75
2026-05-08,Toronto Tempo,Washington Mystics,65,68
2026-05-09,Seattle Storm,Golden State Valkyries,80,91
2026-05-09,Indiana Fever,Dallas Wings,104,107
2026-05-09,Las Vegas Aces,Phoenix Mercury,66,99
2026-05-10,Minnesota Lynx,Atlanta Dream,90,91
2026-05-10,Portland Fire,Chicago Sky,83,98
2026-05-10,Connecticut Sun,Seattle Storm,82,89
2026-05-10,Washington Mystics,New York Liberty,93,98
2026-05-10,Los Angeles Sparks,Las Vegas Aces,78,105
2026-05-11,Golden State Valkyries,Phoenix Mercury,95,79
2026-05-13,Dallas Wings,Atlanta Dream,72,77
2026-05-13,Phoenix Mercury,Minnesota Lynx,84,88
2026-05-13,Portland Fire,New York Liberty,98,96
2026-05-13,Toronto Tempo,Seattle Storm,86,73
2026-05-14,Connecticut Sun,Las Vegas Aces,69,98
2026-05-14,Golden State Valkyries,Chicago Sky,63,69
2026-05-14,Los Angeles Sparks,Indiana Fever,78,87
2026-05-15,Dallas Wings,Minnesota Lynx,86,90
2026-05-15,Portland Fire,New York Liberty,82,100
2026-05-15,Connecticut Sun,Las Vegas Aces,94,101
2026-05-15,Indiana Fever,Washington Mystics,102,104
2026-05-16,Los Angeles Sparks,Toronto Tempo,99,95
2026-05-16,Phoenix Mercury,Chicago Sky,91,83
2026-05-17,Atlanta Dream,Las Vegas Aces,84,85
2026-05-17,Indiana Fever,Seattle Storm,89,78
2026-05-17,Minnesota Lynx,Chicago Sky,79,86
2026-05-17,Los Angeles Sparks,Toronto Tempo,96,106
2026-05-19,Dallas Wings,Washington Mystics,92,69
2026-05-19,Portland Fire,Connecticut Sun,83,82
2026-05-20,Phoenix Mercury,Toronto Tempo,90,98
2026-05-20,Indiana Fever,Portland Fire,90,73
2026-05-21,Chicago Sky,Dallas Wings,89,99
2026-05-21,Seattle Storm,Connecticut Sun,78,80
2026-05-22,New York Liberty,Golden State Valkyries,70,87
2026-05-22,Minnesota Lynx,Toronto Tempo,100,72
2026-05-22,Phoenix Mercury,Los Angeles Sparks,88,97
2026-05-22,Atlanta Dream,Dallas Wings,86,69
2026-05-22,Indiana Fever,Golden State Valkyries,90,82
2026-05-23,Seattle Storm,Connecticut Sun,77,59
2026-05-23,Chicago Sky,Minnesota Lynx,75,85
2026-05-23,Toronto Tempo,Portland Fire,80,99
2026-05-24,Las Vegas Aces,Los Angeles Sparks,95,101
2026-05-24,Atlanta Dream,Phoenix Mercury,82,80
2026-05-24,New York Liberty,Dallas Wings,76,91
2026-05-24,Seattle Storm,Washington Mystics,97,85
2026-05-26,New York Liberty,Portland Fire,74,81
2026-05-26,Golden State Valkyries,Connecticut Sun,97,70
2026-05-27,New York Liberty,Phoenix Mercury,84,74
2026-05-28,Chicago Sky,Toronto Tempo,104,111
2026-05-28,Minnesota Lynx,Atlanta Dream,96,81
2026-05-28,Portland Fire,Connecticut Sun,71,61
2026-05-28,Seattle Storm,Washington Mystics,64,78
2026-05-29,Dallas Wings,Las Vegas Aces,95,87
2026-05-29,Golden State Valkyries,Indiana Fever,90,88
2026-05-29,New York Liberty,Phoenix Mercury,75,68
2026-05-29,Washington Mystics,Los Angeles Sparks,87,92
2026-05-29,Chicago Sky,Minnesota Lynx,58,79
2026-05-30,Portland Fire,Atlanta Dream,66,86
2026-05-30,Toronto Tempo,Seattle Storm,93,72
2026-05-30,Connecticut Sun,Los Angeles Sparks,84,81
2026-05-31,Portland Fire,Indiana Fever,100,84
2026-05-31,Golden State Valkyries,Las Vegas Aces,81,91
2026-06-02,Dallas Wings,Seattle Storm,79,56
2026-06-02,Phoenix Mercury,Minnesota Lynx,77,111
2026-06-02,Atlanta Dream,Connecticut Sun,91,75
2026-06-02,Washington Mystics,Chicago Sky,90,72
2026-06-03,Golden State Valkyries,Portland Fire,95,77
2026-06-03,Los Angeles Sparks,Las Vegas Aces,69,79
2026-06-03,New York Liberty,Toronto Tempo,97,82
2026-06-04,Seattle Storm,Phoenix Mercury,68,72
2026-06-04,Indiana Fever,Atlanta Dream,83,71
2026-06-05,Minnesota Lynx,Golden State Valkyries,87,84
2026-06-05,Chicago Sky,Connecticut Sun,85,80
2026-06-06,Los Angeles Sparks,Dallas Wings,96,104
2026-06-06,Portland Fire,Phoenix Mercury,72,78
2026-06-06,Minnesota Lynx,Seattle Storm,88,68
2026-06-06,Las Vegas Aces,Golden State Valkyries,84,79
2026-06-06,Atlanta Dream,Washington Mystics,109,77
2026-06-07,New York Liberty,Indiana Fever,83,75
2026-06-07,Toronto Tempo,Chicago Sky,85,68
2026-06-07,Los Angeles Sparks,Portland Fire,89,72
2026-06-08,Connecticut Sun,New York Liberty,80,89
2026-06-08,Washington Mystics,Indiana Fever,76,78
2026-06-09,Las Vegas Aces,Seattle Storm,101,91
2026-06-09,Chicago Sky,Atlanta Dream,75,82
2026-06-10,Minnesota Lynx,Dallas Wings,100,76
2026-06-10,Golden State Valkyries,Phoenix Mercury,87,81
2026-06-10,Toronto Tempo,Connecticut Sun,106,102
2026-06-11,Seattle Storm,Los Angeles Sparks,83,88
