date,winner,loser
2023-06-10,Diana Belbita,Maria Oliveira
2023-06-10,Steve Erceg,David Dvorak
2023-06-10,Kyle Nelson,Blake Bilder
2023-06-10,Aiemann Zahabi,Aoriqileng
2023-06-10,Jasmine Jasudavicius,Miranda Maverick
2023-06-10,Marc-Andre Barriault,Eryk Anders
2023-06-10,Dan Ige,Nate Landwehr
2023-06-10,Mike Malott,Adam Fugitt
2023-06-10,Charles Oliveira,Beneil Dariush
2023-06-10,Amanda Nunes,Irene Aldana
2023-06-17,Modestas Bukauskas,Zac Pauga
2023-06-17,Tereza Bleda,Gabriella Fernandes
2023-06-17,Carlos Hernandez,Denys Bondar
2023-06-17,Kyung Ho Kang,Cristian Quiñonez
2023-06-17,Alessandro Costa,Jimmy Flick
2023-06-17,Nicolas Dalby,Muslim Salikhov
2023-06-17,Manuel Torres,Nikolas Motta
2023-06-17,Pat Sabatini,Lucas Almeida
2023-06-17,Armen Petrosyan,Christian Leroy Duncan
2023-06-17,Arman Tsarukyan,Joaquim Silva
2023-06-17,Jared Cannonier,Marvin Vettori
2023-06-24,Sedriques Dumas,Cody Brundage
2023-06-24,Jack Jenkins,Jamall Emmers
2023-06-24,Chepe Mariscal,Trevor Peek
2023-06-24,Joshua Van,Zhalgas Zhumagulov
2023-06-24,Tabatha Ricci,Gillian Robertson
2023-06-24,Mateusz Rębecki,Loik Radzhabov
2023-06-24,Randy Brown,Wellington Turman
2023-06-24,Neil Magny,Phil Rowe
2023-06-24,Brendan Allen,Bruno Silva
2023-06-24,David Onama,Gabriel Santos
2023-06-24,Maycee Barber,Amanda Ribas
2023-06-24,Ilia Topuria,Josh Emmett
2023-07-01,Alexandr Romanov,Blagoy Ivanov
2023-07-01,Luana Carolina,Ivana Petrovic
2023-07-01,Elves Brener,Guram Kutateladze
2023-07-01,Karol Rosa,Yana Santos
2023-07-01,Joanderson Brito,Westin Wilson
2023-07-01,Rinat Fakhretdinov,Kevin Lee
2023-07-01,Nursulton Ruziboev,Brunno Ferreira
2023-07-01,Benoît Saint Denis,Ismael Bonfim
2023-07-01,Ariane Lipski da Silva,Melissa Gatto
2023-07-01,Michael Morales,Max Griffin
2023-07-01,Grant Dawson,Damir Ismagulov
2023-07-01,Sean Strickland,Abus Magomedov
2023-07-08,Esteban Ribovics,Kamuela Kirk
2023-07-08,Jesus Aguilar,Shannon Ross
2023-07-08,Cameron Saaiman,Terrence Mitchell
2023-07-08,Vitor Petrino,Marcin Prachnio
2023-07-08,Alonzo Menifield,Jimmy Crute
2023-07-08,Denise Gomes,Yazmin Jauregui
2023-07-08,Tatsuro Taira,Édgar Cháirez
2023-07-08,Robbie Lawler,Niko Price
2023-07-08,Bo Nickal,Val Woodburn
2023-07-08,Dan Hooker,Jalin Turner
2023-07-08,Dricus Du Plessis,Robert Whittaker
2023-07-08,Alexandre Pantoja,Brandon Moreno
2023-07-08,Alexander Volkanovski,Yair Rodriguez
2023-07-15,Ailin Perez,Ashlee Evans-Smith
2023-07-15,Alexander Munoz,Carl Deaton
2023-07-15,Azat Maksum,Tyson Nam
2023-07-15,Evan Elder,Genaro Valdez
2023-07-15,Melquizael Costa,Austin Lingo
2023-07-15,Viktoriia Dudakova,Istela Nunes
2023-07-15,Melsik Baghdasaryan,Tucker Lutz
2023-07-15,Nazim Sadykhov,Terrance McKinney
2023-07-15,Norma Dumont,Chelsea Chandler
2023-07-15,JunYong Park,Albert Duraev
2023-07-15,Francisco Prado,Ottman Azaitar
2023-07-15,Jack Della Maddalena,Bassil Hafez
2023-07-22,Jafel Filho,Daniel Barez
2023-07-22,Bruna Brasil,Shauna Bannon
2023-07-22,Chris Duncan,Yanal Ashmouz
2023-07-22,Ketlen Vieira,Pannie Kianzad
2023-07-22,Makhmud Muradov,Bryan Barberena
2023-07-22,Mick Parkin,Jamal Pogues
2023-07-22,Joel Álvarez,Marc Diakiese
2023-07-22,Jonny Parsons,Danny Roberts
2023-07-22,Daniel Marcos,Davey Grant
2023-07-22,Lerone Murphy,Josh Culibao
2023-07-22,Farés Ziam,Jai Herbert
2023-07-22,Paul Craig,Andre Muniz
2023-07-22,Nathaniel Wood,Andre Fili
2023-07-22,Julija Stoliarenko,Molly McCann
2023-07-22,Tom Aspinall,Marcin Tybura
2023-07-26,Austin Hubbard,Roosevelt Roberts
2023-07-29,Miranda Maverick,Priscila Cachoeira
2023-07-29,Uroš Medić,Matthew Semelsberger
2023-07-29,Jake Matthews,Darrius Flowers
2023-07-29,Roman Kopylov,Claudio Ribeiro
2023-07-29,CJ Vergara,Vinicius Salvador
2023-07-29,Gabriel Bonfim,Trevin Giles
2023-07-29,Kevin Holland,Michael Chiesa
2023-07-29,King Green,Tony Ferguson
2023-07-29,Derrick Lewis,Marcos Rogerio de Lima
2023-07-29,Alex Pereira,Jan Blachowicz
2023-07-29,Justin Gaethje,Dustin Poirier
2023-08-02,Brad Katona,Timur Valiev
2023-08-05,Asu Almabayev,Ode' Osbourne
2023-08-05,Sean Woodson,Dennis Buzukja
2023-08-05,Cody Durden,Jake Hadley
2023-08-05,Billy Quarantillo,Damon Jackson
2023-08-05,Carlston Harris,Jeremiah Wells
2023-08-05,Kyler Phillips,Raoni Barcelos
2023-08-05,Ludovit Klein,Ignacio Bahamondes
2023-08-05,Tanner Boser,Aleksa Camur
2023-08-05,Diego Lopes,Gavin Tucker
2023-08-05,Dustin Jacoby,Kennedy Nzechukwu
2023-08-05,Tatiana Suarez,Jessica Andrade
2023-08-05,Cory Sandhagen,Rob Font
2023-08-08,Kevin Borjas,Victor Dias
2023-08-08,Payton Talbott,Reyes Cortez Jr.
2023-08-08,Caio Machado,Kevin Szaflarski
2023-08-08,Tom Nolan,Bogdan Grad
2023-08-08,Cesar Almeida,Lucas Fernando
2023-08-09,Kurt Holobaugh,Jason Knight
2023-08-12,Luana Santos,Juliana Miller
2023-08-12,Da'Mon Blackshear,Jose Johnson
2023-08-12,Jaqueline Amorim,Montserrat Conejo Ruiz
2023-08-12,Martin Buday,Josh Parisian
