tourney_date,surface,winner_name,loser_name
20250222,Hard,Sebastian Baez,Camilo Ugo Carabelli
20250222,Hard,Alexandre Muller,Francisco Comesana
20250223,Hard,Sebastian Baez,Alexandre Muller
20250222,Hard,Juan Pablo Varillas,Emilio Nava
20250222,Hard,Roman Andres Burruchaga,Kilian Feldbausch
20250222,Hard,Juan Pablo Ficovich,Adolfo Daniel Vallejo
20250222,Hard,Felipe Meligeni Alves,Bastian Malla
20250222,Hard,Thiago Agustin Tirante,Pol Martin Tiffon
20250222,Hard,Orlando Luz,Ryan Seggerman
20250222,Hard,Gustavo Heide,Genaro Alberto Olivieri
20250222,Hard,Juan Manuel Cerundolo,Matias Soto
20250223,Hard,Felipe Meligeni Alves,Juan Pablo Varillas
20250223,Hard,Juan Pablo Ficovich,Roman Andres Burruchaga
20250223,Hard,Gustavo Heide,Thiago Agustin Tirante
20250223,Hard,Juan Manuel Cerundolo,Orlando Luz
20250224,Hard,Yannick Hanfmann,Facundo Diaz Acosta
20250224,Hard,Laslo Djere,Ignacio Buse
20250224,Hard,Gustavo Heide,Thiago Seyboth Wild
20250224,Hard,Cristian Garin,Juan Pablo Ficovich
20250225,Hard,Damir Dzumhur,Corentin Moutet
20250225,Hard,Tomas Martin Etcheverry,Hugo Gaston
20250225,Hard,Thiago Monteiro,Juan Manuel Cerundolo
20250225,Hard,Camilo Ugo Carabelli,Nicolas Jarry
20250225,Hard,Jaime Faria,Luciano Darderi
20250225,Hard,Mariano Navone,Aleksandr Shevchenko
20250226,Hard,Jaime Faria,Gustavo Heide
20250226,Hard,Laslo Djere,Pedro Martinez
20250226,Hard,Federico Coria,Tomas Barrios Vera
20250226,Hard,Francisco Comesana,Felipe Meligeni Alves
20250226,Hard,Francisco Cerundolo,Yannick Hanfmann
20250226,Hard,Tomas Martin Etcheverry,Cristian Garin
20250227,Hard,Damir Dzumhur,Mariano Navone
20250227,Hard,Sebastian Baez,Francisco Comesana
20250227,Hard,Camilo Ugo Carabelli,Thiago Monteiro
20250227,Hard,Federico Coria,Alejandro Tabilo
20250228,Hard,Laslo Djere,Jaime Faria
20250228,Hard,Francisco Cerundolo,Tomas Martin Etcheverry
20250228,Hard,Camilo Ugo Carabelli,Federico Coria
20250301,Hard,Sebastian Baez,Damir Dzumhur
20250301,Hard,Laslo Djere,Francisco Cerundolo
20250301,Hard,Sebastian Baez,Camilo Ugo Carabelli
20250302,Hard,Laslo Djere,Sebastian Baez
20250222,Hard,Learner Tien,Federico Agustin Gomez
20250222,Hard,Adam Walton,Adrian Mannarino
20250222,Hard,Dusan Lajovic,Dmitry Popko
20250223,Hard,Nishesh Basavareddy,James Duckworth
20250223,Hard,Aleksandar Kovacevic,Alan Magadan
20250223,Hard,Stefan Kozlov,Duarte Vale
20250223,Hard,Gabriel Diallo,Rafael Alfonso De Alba Valdes
20250223,Hard,Mattia Bellucci,Christopher Eubanks
20250224,Hard,Nishesh Basavareddy,Stefan Kozlov
20250224,Hard,Learner Tien,Dusan Lajovic
20250224,Hard,Adam Walton,Aleksandar Kovacevic
20250224,Hard,Gabriel Diallo,Mattia Bellucci
20250225,Hard,Casper Ruud,Arthur Rinderknech
20250225,Hard,Daniel Altmaier,Miomir Kecmanovic
20250225,Hard,Tomas Machac,Jakub Mensik
20250225,Hard,Ben Shelton,Flavio Cobolli
20250225,Hard,Marcos Giron,Adam Walton
20250225,Hard,David Goffin,Rinky Hijikata
20250225,Hard,Learner Tien,Cameron Norrie
20250225,Hard,Tommy Paul,Gabriel Diallo
20250226,Hard,Rodrigo Pacheco Mendez,Aleksandar Vukic
20250226,Hard,Alejandro Davidovich Fokina,Mattia Bellucci
20250226,Hard,Holger Rune,Roberto Carballes Baena
20250226,Hard,Alexander Zverev,Matteo Arnaldi
20250226,Hard,Brandon Nakashima,Benjamin Bonzi
20250226,Hard,Denis Shapovalov,Nishesh Basavareddy
20250226,Hard,Alex Michelsen,Bu Yunchaokete
20250226,Hard,Frances Tiafoe,Alexandre Muller
20250227,Hard,Marcos Giron,Tommy Paul
20250227,Hard,Tomas Machac,Daniel Altmaier
20250227,Hard,David Goffin,Ben Shelton
20250227,Hard,Denis Shapovalov,Alex Michelsen
20250227,Hard,Brandon Nakashima,Holger Rune
20250227,Hard,Learner Tien,Alexander Zverev
20250227,Hard,Rodrigo Pacheco Mendez,Casper Ruud
20250227,Hard,Alejandro Davidovich Fokina,Frances Tiafoe
20250228,Hard,Brandon Nakashima,David Goffin
20250228,Hard,Tomas Machac,Learner Tien
20250228,Hard,Denis Shapovalov,Marcos Giron
20250228,Hard,Alejandro Davidovich Fokina,Rodrigo Pacheco Mendez
20250301,Hard,Tomas Machac,Brandon Nakashima
20250301,Hard,Alejandro Davidovich Fokina,Denis Shapovalov
20250302,Hard,Tomas Machac,Alejandro Davidovich Fokina
20250302,Hard,Eva Lys,Aliaksandra Sasnovich
20250304,Hard,Jule Niemeier,Eva Lys
20250305,Hard,Caroline Garcia,Bernarda Pera
20250305,Hard,Elisabetta Cocciaretto,Renata Zarazua
20250305,Hard,Lulu Sun,Rebecca Sramkova
20250305,Hard,Varvara Gracheva,Petra Kvitova
20250305,Hard,Irina-Camelia Begu,Ann Li
20250305,Hard,Hailey Baptiste,Whitney Osuigwe
20250305,Hard,Suzan Lamens,Marie Bouzkova
20250305,Hard,Magda Linette,Peyton Stearns
20250305,Hard,Caroline Dolehide,Kamilla Rakhimova
20250305,Hard,Wang Xinyu,Mayar Sherif
20250306,Hard,Katerina Siniakova,Maria Lourdes Carle
20250306,Hard,Victoria Azarenka,Clervie Ngounoue
20250306,Hard,Camila Osorio,Naomi Osaka
20250306,Hard,Robin Montgomery,Jule Niemeier
20250306,Hard,Ashlyn Krueger,Katie Volynets
20250306,Hard,Dayana Yastremska,Yuan Yue
20250306,Hard,Sofia Kenin,Maddison Inglis
20250306,Hard,Polina Kudermetova,Claire Liu
20250306,Hard,Lucia Bronzetti,Anhelina Kalinina
20250306,Hard,Viktoriya Tomova,Olga Danilovic
20250306,Hard,Catherine McNally,Ajla Tomljanovic
20250306,Hard,Sorana Cirstea,Maya Joint
20250306,Hard,Moyuka Uchijima,Emma Raducanu
20250306,Hard,Sonay Kartal,Varvara Lepchenko
20250306,Hard,Belinda Bencic,Tatjana Maria
20250306,Hard,Jaqueline Cristian,Veronika Kudermetova
20250307,Hard,Kimberly Birrell,Viktorija Golubic
20250307,Hard,Anastasia Potapova,Jessica Bouzas Maneiro
20250307,Hard,McCartney Kessler,Anna Blinkova
20250307,Hard,Karolina Muchova,Elisabetta Cocciaretto
20250307,Hard,Marta Kostyuk,Robin Montgomery
20250307,Hard,Katie Boulter,Irina-Camelia Begu
20250307,Hard,Elena Rybakina,Suzan Lamens
20250307,Hard,Elina Avanesyan,Lauren Davis
20250307,Hard,Iva Jovic,Julia Grabher
20250307,Hard,Katerina Siniakova,Yulia Putintseva
20250307,Hard,Dayana Yastremska,Ons Jabeur
20250307,Hard,Clara Tauson,Camila Osorio
20250307,Hard,Lulu Sun,Linda Noskova
20250307,Hard,Alycia Parks,Anna Kalinskaya
20250307,Hard,Caroline Dolehide,Eva Lys
20250308,Hard,Iga Swiatek,Caroline Garcia
20250308,Hard,Wang Xinyu,Jelena Ostapenko
20250308,Hard,Jessica Pegula,Magda Linette
20250308,Hard,Elina Svitolina,Ashlyn Krueger
20250308,Hard,Mirra Andreeva,Varvara Gracheva
20250308,Hard,Danielle Collins,Hailey Baptiste
20250308,Hard,Zheng Qinwen,Victoria Azarenka
20250308,Hard,Polina Kudermetova,Ekaterina Alexandrova
20250308,Hard,Lucia Bronzetti,Magdalena Frech
20250308,Hard,Madison Keys,Anastasia Potapova
20250308,Hard,Maria Sakkari,Viktoriya Tomova
20250308,Hard,Donna Vekic,Elina Avanesyan
20250308,Hard,Jasmine Paolini,Iva Jovic
20250308,Hard,Coco Gauff,Moyuka Uchijima
20250308,Hard,Sonay Kartal,Beatriz Haddad Maia
20250308,Hard,Elise Mertens,Kimberly Birrell
20250308,Hard,Daria Kasatkina,Sofia Kenin
20250309,Hard,Belinda Bencic,Amanda Anisimova
20250309,Hard,Jaqueline Cristian,Leylah Fernandez
20250309,Hard,Liudmila Samsonova,Catherine McNally
20250309,Hard,Aryna Sabalenka,McCartney Kessler
20250309,Hard,Diana Shnaider,Alycia Parks
20250309,Hard,Emma Navarro,Sorana Cirstea
20250309,Hard,Marta Kostyuk,Caroline Dolehide
20250309,Hard,Iga Swiatek,Dayana Yastremska
20250309,Hard,Elena Rybakina,Katie Boulter
20250309,Hard,Karolina Muchova,Katerina Siniakova
20250309,Hard,Jessica Pegula,Wang Xinyu
20250309,Hard,Elina Svitolina,Danielle Collins
20250310,Hard,Mirra Andreeva,Clara Tauson
20250310,Hard,Zheng Qinwen,Lulu Sun
20250310,Hard,Madison Keys,Elise Mertens
20250310,Hard,Sonay Kartal,Polina Kudermetova
20250310,Hard,Coco Gauff,Maria Sakkari
20250310,Hard,Belinda Bencic,Diana Shnaider
20250310,Hard,Aryna Sabalenka,Lucia Bronzetti
20250310,Hard,Liudmila Samsonova,Daria Kasatkina
20250311,Hard,Donna Vekic,Emma Navarro
20250311,Hard,Jasmine Paolini,Jaqueline Cristian
20250311,Hard,Iga Swiatek,Karolina Muchova
20250311,Hard,Elina Svitolina,Jessica Pegula
20250312,Hard,Mirra Andreeva,Elena Rybakina
20250312,Hard,Zheng Qinwen,Marta Kostyuk
20250312,Hard,Belinda Bencic,Coco Gauff
20250312,Hard,Madison Keys,Donna Vekic
20250312,Hard,Aryna Sabalenka,Sonay Kartal
20250312,Hard,Liudmila Samsonova,Jasmine Paolini
20250313,Hard,Iga Swiatek,Zheng Qinwen
20250313,Hard,Mirra Andreeva,Elina Svitolina
20250313,Hard,Madison Keys,Belinda Bencic
20250314,Hard,Aryna Sabalenka,Liudmila Samsonova
20250314,Hard,Mirra Andreeva,Iga Swiatek
